Nosaukums;Pakāpe;Paralēle/grupa;Datums no;Datums līdz;Ir Komplekts;Audzēkņu skaits;Apakšstatusu skaits;Izglītības programmas kods;Izglītības programmas nosaukums;Licenses numurs;Licencēšanas ID;Pamatprogramma;Mācību plāns;Mācību valoda;Klases Tips;Maiņa;Mājas apmācība;Apgūst divu klašu mācību saturu;Struktūrvienības klase;
1. a;1;a;01.09.2020;31.08.2021;Jā;28;="0";21011111;Pamatizglītības programma;Nav;V_2927;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
1. b;1;b;01.09.2020;31.08.2021;Jā;28;="0";21011111;Pamatizglītības programma;Nav;V_2927;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
1. c;1;c;01.09.2020;31.08.2021;Jā;28;="0";21011111;Pamatizglītības programma;Nav;V_2927;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
1. d;1;d;01.09.2020;31.08.2021;Jā;28;="0";21011111;Pamatizglītības programma;Nav;V_2927;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
1. e;1;e;01.09.2020;31.08.2021;Jā;21;="0";21011111;Pamatizglītības programma;Nav;V_2927;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
1. e;1;e;01.09.2020;31.08.2021;Jā;1;="0";21015611;Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem;Nav;V_2928;Nē;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
2. a;2;a;01.09.2020;31.08.2021;Jā;20;="0";21011111;Pamatizglītības programma;V-9387;Nav;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
2. b;2;b;01.09.2020;31.08.2021;Jā;28;="0";21013111;Pamatizglītības matemātikas, dabaszinību un tehnikas virziena programma;V-9389;Nav;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
2. c;2;c;01.09.2020;31.08.2021;Jā;25;="0";21013111;Pamatizglītības matemātikas, dabaszinību un tehnikas virziena programma;V-9389;Nav;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
2. d;2;d;01.09.2020;31.08.2021;Jā;24;="0";21012111;Pamatizglītības humanitārā un sociālā virziena programma;V-9388;Nav;Jā;;Latviešu;Nav;1. maiņa;Nē;Nē;Nē;
